Index,Lat_Start,Lon_Start,Number
19001,54.10584,10.81152,2
19002,54.10568,10.81155,3
19003,54.1051,10.81138,4
19004,54.10499,10.81144,5
19005,54.10487,10.8116,1
19006,54.10471,10.81212,2
19007,54.1047,10.81237,3
19008,54.10521,10.81411,4
19009,54.10548,10.81573,5
19010,54.10587,10.81693,1
19011,54.10593,10.81737,2
19012,54.10548,10.82092,3
19013,54.10545,10.82347,4
19014,54.1043,10.83004,5
19015,54.10425,10.83006,1
19016,54.10418,10.83016,2
19017,54.10417,10.83031,3
19018,54.10401,10.83049,4
19019,54.10355,10.83167,5
19020,54.10341,10.83272,1
19021,54.10385,10.83605,2
19022,54.10371,10.83682,3
19023,54.10305,10.83845,4
19024,54.10275,10.84025,5
19025,54.10226,10.84212,1
19026,54.10142,10.84789,2
19027,54.10157,10.8537,3
19028,54.10144,10.85607,4
19029,54.10168,10.85902,5
19030,54.10159,10.86039,1
19031,54.10174,10.8634,2
19032,54.10202,10.86548,3
19033,54.10178,10.86778,4
19034,54.10244,10.87234,5
19035,54.10238,10.87292,1
19036,54.10156,10.87568,2
19037,54.10168,10.87744,3
19038,54.10163,10.87802,4
19039,54.10088,10.88054,5
19040,54.10057,10.88103,1
19041,54.0994,10.88232,2
19042,54.09854,10.88406,3
19043,54.09831,10.8843,4
19044,54.09807,10.88475,5
19045,54.09792,10.8855,1
19046,54.09797,10.88585,2
19047,54.09902,10.88738,3
19048,54.09959,10.88927,4
19049,54.10057,10.89134,5
19050,54.10128,10.89249,1
19051,54.10195,10.89451,2
19052,54.10226,10.89492,3
19053,54.10267,10.89517,4
19054,54.10341,10.89528,5
19055,54.10521,10.89578,1
19056,54.10678,10.89651,2
19057,54.10697,10.89666,3
19058,54.10761,10.89745,4
19059,54.10762,10.89745,5
19060,54.10864,10.89954,1
19061,54.11043,10.90261,2
19062,54.11059,10.90267,3
19063,54.11231,10.90239,4
19064,54.11381,10.90067,5
19065,54.11453,10.90011,1
19066,54.11466,10.9007,2
19067,54.1148,10.90094,3
19068,54.11509,10.9012,4
19069,54.11566,10.90217,5
19070,54.1157,10.90243,1
19071,54.11548,10.90333,2
19072,54.11551,10.90374,3
19073,54.11559,10.90396,4
19074,54.11568,10.90403,5
19075,54.11574,10.90404,1
19076,54.1166,10.90364,2
19077,54.1168,10.90366,3
19078,54.1226,10.90744,4
19079,54.12275,10.90745,5
19081,54.12321,10.90707,1
19082,54.12341,10.90696,2
19083,54.12445,10.90671,3
19084,54.12456,10.90672,4
19085,54.12689,10.90782,5
19086,54.12719,10.90845,1
19087,54.12807,10.90964,2
19088,54.12885,10.91021,3
19089,54.12903,10.91028,4
19090,54.13045,10.91029,5
19091,54.13055,10.91026,1
19092,54.13255,10.90795,2
19093,54.13492,10.91915,3
19094,54.13565,10.92124,4
19095,54.13631,10.92257,5
19096,54.14041,10.92921,1
19097,54.14144,10.93016,2
19098,54.1423,10.93059,3
19099,54.14422,10.93116,4
19100,54.1453,10.93172,5
19101,54.14614,10.93245,1
19102,54.1468,10.93327,2
19103,54.14782,10.93513,3
19104,54.14842,10.93693,4
19105,54.14976,10.94574,5
19106,54.15048,10.94825,1
19107,54.15109,10.94941,2
19108,54.1519,10.95045,3
19109,54.15242,10.95232,4
19110,54.1526,10.95239,5
19111,54.15288,10.95273,1
19112,54.1531,10.95343,2
19113,54.15327,10.9591,3
19114,54.15353,10.95964,4
19115,54.15363,10.95975,5
19116,54.15398,10.95987,1
19117,54.15495,10.95975,2
19118,54.1554,10.95982,3
19119,54.15614,10.96019,4
19120,54.15668,10.96071,5
19121,54.15816,10.96277,1
19122,54.1591,10.96362,2
19123,54.15984,10.964,3
19124,54.16058,10.96415,4
19125,54.16228,10.96418,5
19126,54.16266,10.96425,1
19127,54.16345,10.96455,2
19128,54.16447,10.96527,3
19129,54.16533,10.96627,4
19130,54.16579,10.967,5
19131,54.16817,10.97217,1
19132,54.17066,10.97634,2
19133,54.17108,10.97682,3
19134,54.1718,10.97733,4
19135,54.17223,10.97746,5
19136,54.17279,10.97748,1
19137,54.17333,10.97734,2
19138,54.17474,10.97665,3
19139,54.17558,10.97663,4
19140,54.17605,10.97648,5
19141,54.17691,10.97582,1
19142,54.17737,10.97559,2
19143,54.17784,10.97556,3
19144,54.17825,10.97577,4
19145,54.1785,10.97601,5
19146,54.17875,10.97637,1
19147,54.17879,10.97639,2
19148,54.17894,10.97679,3
19149,54.17983,10.98078,4
19150,54.17998,10.98112,5
19151,54.18035,10.98157,1
19152,54.18105,10.98195,2
19153,54.18136,10.98204,3
19154,54.18156,10.98201,4
19156,54.18276,10.98138,5
19157,54.1835,10.98103,1
19158,54.18374,10.98097,2
19159,54.1842,10.98096,3
19160,54.18447,10.98102,4
19161,54.18537,10.98146,5
19162,54.18561,10.98147,1
19163,54.18618,10.98131,2
19164,54.1864,10.98133,3
19165,54.18728,10.98173,4
19166,54.18781,10.98207,5
19167,54.19127,10.98514,1
19168,54.19176,10.98584,2
19169,54.19311,10.98861,3
19170,54.19385,10.98969,4
19171,54.1946,10.99149,5
19172,54.19485,10.99281,1
19173,54.19509,10.99736,2
19174,54.19498,11.00079,3
19175,54.19455,11.00358,4
19176,54.19464,11.00493,5
19177,54.19674,11.01146,1
19178,54.19768,11.02399,2
19179,54.19784,11.02474,3
19180,54.19776,11.02484,4
19181,54.1978,11.02582,5
19182,54.19846,11.02673,1
19183,54.199,11.02706,2
19184,54.19909,11.02707,3
19185,54.19915,11.02698,4
19186,54.20168,11.02998,5
19187,54.20261,11.03129,1
19188,54.20683,11.03986,2
19189,54.20705,11.03968,3
19190,54.20824,11.03918,4
19191,54.21548,11.03531,5
19192,54.21654,11.03498,1
19193,54.22135,11.03427,2
19194,54.22198,11.03432,3
19195,54.22332,11.03475,4
19196,54.22391,11.03475,5
19197,54.22505,11.03431,1
19198,54.22557,11.03426,2
19199,54.2258,11.0343,3
19200,54.22673,11.03471,4
19201,54.22755,11.03555,5
19202,54.22799,11.0358,1
19203,54.2298,11.03624,2
19204,54.23045,11.03604,3
19205,54.23225,11.03614,4
19206,54.23495,11.03576,5
19207,54.2352,11.03552,1
19208,54.23539,11.03504,2
19209,54.23553,11.03483,3
19210,54.23564,11.03474,4
19211,54.23591,11.03472,5
19212,54.2371,11.03522,1
19213,54.23732,11.03525,2
19214,54.23758,11.03522,3
