Lat_Start,Lon_Start,Coordinate Pair,Lat_End,Lon_End,Lat_Start_Rad,Lon_Start_Rad,Lat_End_Rad,Lon_End_Rad,Distance_Km,RT_Km,Distance_Miles,RT_Miles,Trip,RowCount
67.73557,25.10664,,67.73534,25.10664,1.182208717,0.438193532,1.182204703,0.438193532,0.025574801,2960.94085,0.015892425,1839.956808,29666,3
67.73534,25.10961,,67.73419,25.10961,1.182204703,0.438245368,1.182184632,0.438245368,0.127874146,2961.068724,0.079462211,1840.03627,29667,4
67.73419,25.11704,,67.7331,25.11704,1.182184632,0.438375046,1.182165608,0.438375046,0.121202486,2961.189927,0.075316378,1840.111587,29668,5
67.7331,25.12187,,67.7325,25.12187,1.182165608,0.438459346,1.182155136,0.438459346,0.066716958,2961.256644,0.041458553,1840.153045,29669,1
67.7325,25.12608,,67.73313,25.12608,1.182155136,0.438532824,1.182166131,0.438532824,0.070052794,2961.326696,0.043531473,1840.196577,29670,2
67.73313,25.13907,,67.7328,25.13907,1.182166131,0.438759542,1.182160372,0.438759542,0.036694427,2961.363391,0.022802266,1840.219379,29671,3
67.7328,25.14524,,67.73237,25.14524,1.182160372,0.438867229,1.182152867,0.438867229,0.04781385,2961.411205,0.029711981,1840.249091,29672,4
67.73237,25.14796,,67.73179,25.14796,1.182152867,0.438914702,1.182142744,0.438914702,0.064493007,2961.475698,0.040076568,1840.289168,29673,5
67.73179,25.15668,,67.73088,25.15668,1.182142744,0.439066895,1.182126861,0.439066895,0.101187401,2961.576885,0.062878813,1840.352046,29674,1
67.73088,25.16184,,67.72963,25.16184,1.182126861,0.439156954,1.182105045,0.439156954,0.138993674,2961.715879,0.086371991,1840.438418,29675,2
67.72963,25.17354,,67.72965,25.17354,1.182105045,0.439361157,1.182105394,0.439361157,0.002222378,2961.718101,0.001381007,1840.439799,29676,3
67.72965,25.17509,,67.73091,25.17509,1.182105394,0.43938821,1.182127385,0.43938821,0.140105589,2961.858207,0.087062945,1840.526862,29677,4
67.73091,25.18378,,67.73109,25.18378,1.182127385,0.439539879,1.182130526,0.439539879,0.020015144,2961.878222,0.012437601,1840.5393,29678,5
67.73109,25.18816,,67.73086,25.18816,1.182130526,0.439616325,1.182126512,0.439616325,0.025574977,2961.903797,0.015892534,1840.555192,29679,1
67.73086,25.19165,,67.72981,25.19165,1.182126512,0.439677237,1.182108186,0.439677237,0.116754709,2962.020551,0.072552487,1840.627745,29680,2
67.72981,25.19962,,67.72965,25.19962,1.182108186,0.439816339,1.182105394,0.439816339,0.017791189,2962.038343,0.011055614,1840.638801,29681,3
67.72965,25.2024,,67.72995,25.2024,1.182105394,0.439864859,1.18211063,0.439864859,0.033358378,2962.071701,0.020729213,1840.65953,29682,4
67.72995,25.20582,,67.73256,25.20582,1.18211063,0.43992455,1.182156183,0.43992455,0.290218759,2962.36192,0.180344697,1840.839875,29683,5
67.73256,25.21829,,67.73321,25.21829,1.182156183,0.440142192,1.182167527,0.440142192,0.072276693,2962.434196,0.044913425,1840.884788,29684,1
67.73321,25.21988,,67.73366,25.21988,1.182167527,0.440169943,1.182175381,0.440169943,0.050037747,2962.484234,0.031093932,1840.915882,29685,2
67.73366,25.22058,,67.7346,25.22058,1.182175381,0.44018216,1.182191788,0.44018216,0.104523246,2962.588757,0.064951739,1840.980834,29686,3
67.7346,25.2213,,67.73497,25.2213,1.182191788,0.440194727,1.182198245,0.440194727,0.041142159,2962.6299,0.025566129,1841.0064,29687,4
67.73497,25.22138,,67.73561,25.22138,1.182198245,0.440196123,1.182209415,0.440196123,0.071164819,2962.701064,0.044222495,1841.050622,29688,5
67.73561,25.22119,,67.73647,25.22119,1.182209415,0.440192807,1.182224425,0.440192807,0.095627605,2962.796692,0.059423903,1841.110046,29689,1
67.73647,25.22045,,67.73801,25.22045,1.182224425,0.440179891,1.182251303,0.440179891,0.171240174,2962.967932,0.106410273,1841.216456,29690,2
67.73801,25.21863,,67.73859,25.21863,1.182251303,0.440148126,1.182261426,0.440148126,0.064493077,2963.032425,0.040076612,1841.256533,29691,3
67.73859,25.2181,,67.73904,25.2181,1.182261426,0.440138876,1.18226928,0.440138876,0.050037747,2963.082463,0.031093932,1841.287627,29692,4
67.73904,25.21782,,67.73935,25.21782,1.18226928,0.440133989,1.182274691,0.440133989,0.034470404,2963.116933,0.021420237,1841.309047,29693,5
67.73935,25.21778,,67.74022,25.21778,1.182274691,0.440133291,1.182289875,0.440133291,0.096739581,2963.213673,0.060114896,1841.369162,29694,1
67.74022,25.21803,,67.74205,25.21803,1.182289875,0.440137654,1.182321815,0.440137654,0.203486719,2963.41716,0.126448583,1841.495611,29695,2
67.74205,25.21919,,67.74298,25.21919,1.182321815,0.4401579,1.182338046,0.4401579,0.103411256,2963.520571,0.064260738,1841.559871,29696,3
67.74298,25.2202,,67.74394,25.2202,1.182338046,0.440175528,1.182354801,0.440175528,0.106747134,2963.627318,0.066333684,1841.626205,29697,4
67.74394,25.22187,,67.74645,25.22187,1.182354801,0.440204675,1.182398609,0.440204675,0.279099265,2963.906417,0.173434938,1841.79964,29698,5
67.74645,25.22894,,67.74706,25.22894,1.182398609,0.44032807,1.182409256,0.44032807,0.067828862,2963.974246,0.0421495,1841.84179,29699,1
67.74706,25.22989,,67.74824,25.22989,1.182409256,0.44034465,1.18242985,0.44034465,0.131209993,2964.105456,0.081535137,1841.923325,29700,2
67.74824,25.23079,,67.7501,25.23079,1.18242985,0.440360358,1.182462314,0.440360358,0.206822555,2964.312279,0.128521503,1842.051846,29701,3
67.7501,25.23129,,67.75057,25.23129,1.182462314,0.440369085,1.182470517,0.440369085,0.052261515,2964.36454,0.032475803,1842.084322,29702,4
67.75057,25.23156,,67.75141,25.23156,1.182470517,0.440373797,1.182485177,0.440373797,0.093403694,2964.457944,0.058041944,1842.142364,29703,5
67.75141,25.23235,,67.75452,25.23235,1.182485177,0.440387586,1.182539457,0.440387586,0.345816232,2964.80376,0.214893496,1842.357257,29704,1
67.75452,25.2363,,67.7559,25.2363,1.182539457,0.440456526,1.182563543,0.440456526,0.153449012,2964.957209,0.095354676,1842.452612,29705,2
67.7559,25.23754,,67.7562,25.23754,1.182563543,0.440478168,1.182568779,0.440478168,0.033358513,2964.990568,0.020729297,1842.473341,29706,3
67.7562,25.23769,,67.75715,25.23769,1.182568779,0.440480786,1.182585359,0.440480786,0.105635134,2965.096203,0.065642677,1842.538984,29707,4
67.75715,25.23793,,67.75825,25.23793,1.182585359,0.440484975,1.182604558,0.440484975,0.122314396,2965.218517,0.076007329,1842.614991,29708,5
67.75825,25.23776,,67.75909,25.23776,1.182604558,0.440482008,1.182619219,0.440482008,0.093403742,2965.311921,0.058041974,1842.673033,29709,1
67.75909,25.23724,,67.76026,25.23724,1.182619219,0.440472932,1.182639639,0.440472932,0.130098045,2965.442019,0.080844163,1842.753878,29710,2
67.76026,25.23595,,67.76475,25.23595,1.182639639,0.440450417,1.182718004,0.440450417,0.49926522,2965.941284,0.310248156,1843.064126,29711,3
67.76475,25.2294,,67.76511,25.2294,1.182718004,0.440336098,1.182724287,0.440336098,0.040030288,2965.981315,0.024875202,1843.089001,29712,4
67.76511,25.22899,,67.76564,25.22899,1.182724287,0.440328942,1.182733538,0.440328942,0.058933337,2966.040248,0.036621736,1843.125623,29713,5
67.76564,25.22855,,67.76618,25.22855,1.182733538,0.440321263,1.182742962,0.440321263,0.060045206,2966.100293,0.037312662,1843.162935,29714,1
67.76618,25.2283,,67.76672,25.2283,1.182742962,0.4403169,1.182752387,0.4403169,0.060045206,2966.160338,0.037312662,1843.200248,29715,2
67.76672,25.22825,,67.76716,25.22825,1.182752387,0.440316027,1.182760067,0.440316027,0.048925677,2966.209264,0.030402881,1843.230651,29716,3
67.76716,25.22836,,67.76884,25.22836,1.182760067,0.440317947,1.182789388,0.440317947,0.186807484,2966.396072,0.116083947,1843.346735,29717,4
67.76884,25.22928,,67.76945,25.22928,1.182789388,0.440334004,1.182800035,0.440334004,0.067828862,2966.4639,0.0421495,1843.388884,29718,5
67.76945,25.22983,,67.7715,25.22983,1.182800035,0.440343603,1.182835814,0.440343603,0.227949594,2966.69185,0.141650046,1843.530534,29719,1
67.7715,25.23222,,67.77309,25.23222,1.182835814,0.440385317,1.182863565,0.440385317,0.17679991,2966.86865,0.109865146,1843.640399,29720,2
67.77309,25.23324,,67.7736,25.23324,1.182863565,0.440403119,1.182872466,0.440403119,0.05670936,2966.925359,0.035239736,1843.675639,29721,3
67.7736,25.23397,,67.77414,25.23397,1.182872466,0.44041586,1.182881891,0.44041586,0.060045206,2966.985404,0.037312662,1843.712952,29722,4
67.77414,25.23565,,67.77495,25.23565,1.182881891,0.440445181,1.182896028,0.440445181,0.090067885,2967.075472,0.05596904,1843.768921,29723,5
67.77495,25.24218,,67.77636,25.24218,1.182896028,0.440559151,1.182920637,0.440559151,0.156784833,2967.232257,0.097427586,1843.866348,29724,1
67.77636,25.24837,,67.77684,25.24837,1.182920637,0.440667187,1.182929015,0.440667187,0.053373567,2967.285631,0.033166842,1843.899515,29725,2
67.77684,25.24986,,67.77785,25.24986,1.182929015,0.440693193,1.182946642,0.440693193,0.112306893,2967.397938,0.069788571,1843.969304,29726,3
67.77785,25.25186,,67.7808,25.25186,1.182946642,0.440728099,1.18299813,0.440728099,0.328025043,2967.725963,0.203837882,1844.173142,29727,4
67.7808,25.25561,,67.7823,25.25561,1.18299813,0.440793549,1.18302431,0.440793549,0.166792403,2967.892755,0.103646386,1844.276788,29728,5
67.7823,25.25815,,67.78418,25.25815,1.18302431,0.44083788,1.183057122,0.44083788,0.209046448,2968.101802,0.129903451,1844.406692,29729,1
67.78418,25.26244,,67.78484,25.26244,1.183057122,0.440912755,1.183068641,0.440912755,0.07338867,2968.17519,0.045604417,1844.452296,29730,2
67.78484,25.2633,,67.78609,25.2633,1.183068641,0.440927765,1.183090458,0.440927765,0.138993674,2968.314184,0.086371991,1844.538668,29731,3
67.78609,25.26442,,67.7867,25.26442,1.183090458,0.440947313,1.183101104,0.440947313,0.067828862,2968.382013,0.0421495,1844.580818,29732,4
67.7867,25.26466,,67.78715,25.26466,1.183101104,0.440951501,1.183108958,0.440951501,0.050037837,2968.432051,0.031093988,1844.611912,29733,5
67.78715,25.26459,,67.78717,25.26459,1.183108958,0.44095028,1.183109307,0.44095028,0.002224405,2968.434275,0.001382267,1844.613294,29734,1
67.78717,25.2646,,67.78776,25.2646,1.183109307,0.440950454,1.183119605,0.440950454,0.065604962,2968.49988,0.040767547,1844.654061,29735,2
67.78776,25.26432,,67.7894,25.26432,1.183119605,0.440945567,1.183148228,0.440945567,0.182359662,2968.68224,0.113320028,1844.767381,29736,3
67.7894,25.26252,,67.78998,25.26252,1.183148228,0.440914151,1.183158351,0.440914151,0.064493077,2968.746733,0.040076612,1844.807458,29737,4
67.78998,25.26202,,67.79045,25.26202,1.183158351,0.440905425,1.183166554,0.440905425,0.052261515,2968.798994,0.032475803,1844.839934,29738,5
67.79045,25.26173,,67.79112,25.26173,1.183166554,0.440900363,1.183178248,0.440900363,0.074500562,2968.873495,0.046295358,1844.886229,29739,1
67.79112,25.26164,,67.7913,25.26164,1.183178248,0.440898792,1.183181389,0.440898792,0.020014919,2968.89351,0.012437461,1844.898667,29740,2
67.7913,25.2617,,67.79253,25.2617,1.183181389,0.44089984,1.183202857,0.44089984,0.136769742,2969.030279,0.084990019,1844.983657,29741,3
67.79253,25.26262,,67.79342,25.26262,1.183202857,0.440915897,1.18321839,0.440915897,0.09896348,2969.129243,0.061496848,1845.045153,29742,4
67.79342,25.26395,,67.79383,25.26395,1.18321839,0.44093911,1.183225546,0.44093911,0.045589903,2969.174833,0.028329999,1845.073483,29743,5
67.79383,25.26487,,67.79438,25.26487,1.183225546,0.440955167,1.183235145,0.440955167,0.061157124,2969.23599,0.038003619,1845.111487,29744,1
67.79438,25.26671,,67.79486,25.26671,1.183235145,0.440987281,1.183243523,0.440987281,0.053373567,2969.289363,0.033166842,1845.144654,29745,2
67.79486,25.26957,,67.79535,25.26957,1.183243523,0.441037197,1.183252075,0.441037197,0.054485583,2969.343849,0.03385786,1845.178512,29746,3
67.79535,25.27484,,67.79593,25.27484,1.183252075,0.441129176,1.183262198,0.441129176,0.064493147,2969.408342,0.040076655,1845.218588,29747,4
67.79593,25.27783,,67.79657,25.27783,1.183262198,0.441181361,1.183273368,0.441181361,0.071164756,2969.479507,0.044222456,1845.262811,29748,5
67.79657,25.27991,,67.80181,25.27991,1.183273368,0.441217664,1.183364823,0.441217664,0.582661414,2970.062168,0.362071345,1845.624882,29749,1
67.80181,25.29168,,67.80251,25.29168,1.183364823,0.441423089,1.183377041,0.441423089,0.077836408,2970.140005,0.048368284,1845.673251,29750,2
67.80251,25.29277,,67.80848,25.29277,1.183377041,0.441442113,1.183481237,0.441442113,0.663833712,2970.803839,0.412512583,1846.085763,29751,3
67.80848,25.29957,,67.80941,25.29957,1.183481237,0.441560796,1.183497468,0.441560796,0.103411343,2970.90725,0.064260792,1846.150024,29752,4
67.80941,25.30095,,67.81227,25.30095,1.183497468,0.441584881,1.183547385,0.441584881,0.318017491,2971.225267,0.197619094,1846.347643,29753,5
67.81227,25.30611,,67.81282,25.30611,1.183547385,0.44167494,1.183556984,0.44167494,0.061157198,2971.286425,0.038003665,1846.385647,29754,1
67.81282,25.30688,,67.8134,25.30688,1.183556984,0.441688379,1.183567107,0.441688379,0.064493007,2971.350918,0.040076568,1846.425723,29755,2
67.8134,25.30745,,67.81382,25.30745,1.183567107,0.441698328,1.183574437,0.441698328,0.046701895,2971.397619,0.029021002,1846.454744,29756,3
67.81382,25.30771,,67.81426,25.30771,1.183574437,0.441702866,1.183582117,0.441702866,0.048925677,2971.446545,0.030402881,1846.485147,29757,4
67.81426,25.30787,,67.81485,25.30787,1.183582117,0.441705658,1.183592414,0.441705658,0.065605031,2971.51215,0.04076759,1846.525915,29758,5
67.81485,25.30791,,67.81519,25.30791,1.183592414,0.441706356,1.183598348,0.441706356,0.037806306,2971.549956,0.023493198,1846.549408,29759,1
67.81519,25.30786,,67.81544,25.30786,1.183598348,0.441705484,1.183602712,0.441705484,0.027798702,2971.577755,0.017274378,1846.566682,29760,2
67.81544,25.30774,,67.81579,25.30774,1.183602712,0.441703389,1.18360882,0.441703389,0.038918262,2971.616673,0.024184178,1846.590866,29761,3
67.81579,25.32084,,67.81569,25.32084,1.18360882,0.441932027,1.183607075,0.441932027,0.011119594,2971.627793,0.006909822,1846.597776,29762,4
67.81569,25.3236,,67.81514,25.3236,1.183607075,0.441980198,1.183597476,0.441980198,0.061157198,2971.68895,0.038003665,1846.63578,29763,5
67.81514,25.32688,,67.81373,25.32688,1.183597476,0.442037445,1.183572867,0.442037445,0.156784833,2971.845735,0.097427586,1846.733208,29764,1
67.81373,25.33164,,67.81286,25.33164,1.183572867,0.442120523,1.183557682,0.442120523,0.096739581,2971.942475,0.060114896,1846.793322,29765,2
67.81286,25.33365,,67.80963,25.33365,1.183557682,0.442155604,1.183501308,0.442155604,0.359159618,2972.301634,0.223185203,1847.016508,29766,3
67.80963,25.33928,,67.80844,25.33928,1.183501308,0.442253866,1.183480539,0.442253866,0.132321961,2972.433956,0.082226125,1847.098734,29767,4
67.80844,25.34301,,67.80517,25.34301,1.183480539,0.442318967,1.183423466,0.442318967,0.363607409,2972.797564,0.225949102,1847.324683,29768,5
67.80517,25.3508,,67.80454,25.3508,1.183423466,0.442454928,1.183412471,0.442454928,0.070052794,2972.867616,0.043531473,1847.368214,29769,1
67.80454,25.35415,,67.80358,25.35415,1.183412471,0.442513397,1.183395716,0.442513397,0.106747134,2972.974364,0.066333684,1847.434548,29770,2
67.80358,25.36293,,67.7994,25.36293,1.183395716,0.442666636,1.183322761,0.442666636,0.464794794,2973.439158,0.288827906,1847.723376,29771,3
67.7994,25.37568,,67.79897,25.37568,1.183322761,0.442889166,1.183315256,0.442889166,0.04781385,2973.486972,0.029711981,1847.753088,29772,4
67.79897,25.37795,,67.7985,25.37795,1.183315256,0.442928785,1.183307053,0.442928785,0.052261601,2973.539234,0.032475856,1847.785564,29773,5
67.7985,25.38811,,67.79792,25.38811,1.183307053,0.44310611,1.18329693,0.44310611,0.064493007,2973.603727,0.040076568,1847.82564,29774,1
67.79792,25.39196,,67.79738,25.39196,1.18329693,0.443173306,1.183287505,0.443173306,0.060045281,2973.663772,0.037312709,1847.862953,29775,2
67.79738,25.39405,,67.79234,25.39405,1.183287505,0.443209783,1.183199541,0.443209783,0.560422435,2974.224195,0.348251832,1848.211205,29776,3
