type,latitude,longitude
T,58.50991,-4.21749
T,58.50934,-4.21799
T,58.50828,-4.21978
T,58.50797,-4.22
T,58.5078,-4.22005
T,58.50724,-4.22005
T,58.50681,-4.21998
T,58.50571,-4.21947
T,58.50504,-4.21901
T,58.5035,-4.2183
T,58.50249,-4.21754
T,58.50218,-4.21736
T,58.50158,-4.21716
T,58.50123,-4.21714
T,58.50008,-4.21748
T,58.49942,-4.21735
T,58.49777,-4.21727
T,58.49681,-4.21704
T,58.49632,-4.21681
T,58.49412,-4.21526
T,58.49227,-4.2146
T,58.49192,-4.21438
T,58.4909,-4.21328
T,58.49072,-4.21315
T,58.4895,-4.21255
T,58.48909,-4.21241
T,58.48862,-4.21233
T,58.48829,-4.21235
T,58.4881,-4.21245
T,58.48773,-4.21255
T,58.48746,-4.21272
T,58.48727,-4.21294
T,58.48535,-4.21668
T,58.48515,-4.21723
T,58.48455,-4.22233
T,58.48445,-4.23206
T,58.48454,-4.23395
T,58.48437,-4.23622
T,58.48446,-4.23778
T,58.48442,-4.23861
T,58.48415,-4.24024
T,58.48382,-4.24461
T,58.48374,-4.24913
T,58.48388,-4.24989
T,58.48407,-4.2504
T,58.48446,-4.25106
T,58.48508,-4.2519
T,58.48526,-4.25225
T,58.48546,-4.25284
T,58.48592,-4.25641
T,58.48634,-4.25783
T,58.48665,-4.25966
T,58.48698,-4.26091
T,58.48822,-4.2646
T,58.48887,-4.26583
T,58.48912,-4.26618
T,58.48994,-4.26683
T,58.49125,-4.2686
T,58.49238,-4.26971
T,58.49239,-4.26971
T,58.49278,-4.27011
T,58.49463,-4.2725
T,58.49508,-4.27365
T,58.49657,-4.28078
T,58.49664,-4.28208
T,58.49641,-4.28559
T,58.49638,-4.28827
T,58.49574,-4.29091
T,58.49566,-4.2917
T,58.49579,-4.29345
T,58.49576,-4.29448
T,58.49523,-4.29822
T,58.49521,-4.30061
T,58.49487,-4.30285
T,58.49482,-4.30418
T,58.49496,-4.30495
T,58.49623,-4.30801
T,58.49647,-4.30907
T,58.49706,-4.31431
T,58.49761,-4.3166
T,58.49874,-4.32254
T,58.49974,-4.32456
T,58.50013,-4.32507
T,58.50028,-4.32534
T,58.50043,-4.32578
T,58.50067,-4.32685
T,58.50099,-4.32762
T,58.50215,-4.32939
T,58.50251,-4.33009
T,58.50269,-4.33071
T,58.50311,-4.33437
T,58.5031,-4.33493
T,58.50299,-4.33563
T,58.50225,-4.33796
T,58.50213,-4.33867
T,58.50215,-4.34088
T,58.50208,-4.34127
T,58.50181,-4.34172
T,58.50107,-4.34254
T,58.5009,-4.34281
T,58.498,-4.34927
T,58.49776,-4.35004
T,58.49768,-4.35066
T,58.49779,-4.3533
T,58.49788,-4.35379
T,58.49803,-4.35422
T,58.49832,-4.35465
T,58.50101,-4.35706
T,58.50126,-4.35746
T,58.5014,-4.35795
T,58.50146,-4.3587
T,58.50144,-4.36035
T,58.5016,-4.36268
T,58.50195,-4.36461
T,58.50193,-4.36522
T,58.50188,-4.36543
T,58.50169,-4.36584
T,58.50153,-4.36595
T,58.50114,-4.36613
T,58.50076,-4.36638
T,58.50061,-4.36653
T,58.50039,-4.3669
T,58.50027,-4.36732
T,58.50025,-4.36798
T,58.50031,-4.36836
T,58.50051,-4.36899
T,58.50237,-4.37338
T,58.50295,-4.37627
T,58.50313,-4.3766
T,58.5045,-4.37783
T,58.50475,-4.37795
T,58.50556,-4.3782
T,58.50569,-4.37828
T,58.50587,-4.37846
T,58.506,-4.37871
T,58.50609,-4.37902
T,58.5062,-4.38387
T,58.50597,-4.38511
T,58.50597,-4.38535
T,58.50627,-4.3865
T,58.50657,-4.38837
T,58.50665,-4.38947
T,58.50663,-4.38983
T,58.50653,-4.39035
T,58.50638,-4.39079
T,58.50637,-4.39079
T,58.50611,-4.3913
T,58.50486,-4.39325
T,58.5047,-4.39342
T,58.50447,-4.39358
T,58.50312,-4.39419
T,58.50284,-4.39438
T,58.50243,-4.39479
T,58.50158,-4.39589
T,58.50049,-4.39902
T,58.4986,-4.40313
T,58.49834,-4.40396
T,58.49788,-4.40612
T,58.49672,-4.4089
T,58.49651,-4.40923
T,58.49622,-4.40952
T,58.49447,-4.41043
T,58.49282,-4.41064
T,58.49229,-4.41092
T,58.49051,-4.41139
T,58.49037,-4.4114
T,58.4895,-4.4112
T,58.48934,-4.4112
T,58.48913,-4.41129
