type	latitude	longitude	color	opacity	width	scale	sym	name	desc
T	58.510180000	-4.217180000							
T	58.509910000	-4.217490000							
T	58.509340000	-4.217990000							
T	58.508280000	-4.219780000							
T	58.507970000	-4.220000000							
T	58.507800000	-4.220050000							
T	58.507240000	-4.220050000							
T	58.506810000	-4.219980000							
T	58.505710000	-4.219470000							
T	58.505040000	-4.219010000							
T	58.503500000	-4.218300000							
T	58.502490000	-4.217540000							
T	58.502180000	-4.217360000							
T	58.501580000	-4.217160000							
T	58.501230000	-4.217140000							
T	58.500080000	-4.217480000							
T	58.499420000	-4.217350000							
T	58.497770000	-4.217270000							
T	58.496810000	-4.217040000							
T	58.496320000	-4.216810000							
T	58.494120000	-4.215260000							
T	58.492270000	-4.214600000							
T	58.491920000	-4.214380000							
T	58.490900000	-4.213280000							
T	58.490720000	-4.213150000							
T	58.489500000	-4.212550000							
T	58.489090000	-4.212410000							
T	58.488620000	-4.212330000							
T	58.488290000	-4.212350000							
T	58.488100000	-4.212450000							
T	58.487730000	-4.212550000							
T	58.487460000	-4.212720000							
T	58.487270000	-4.212940000							
T	58.485350000	-4.216680000							
T	58.485150000	-4.217230000							
T	58.484550000	-4.222330000							
T	58.484450000	-4.232060000							
T	58.484540000	-4.233950000							
T	58.484370000	-4.236220000							
T	58.484460000	-4.237780000							
T	58.484420000	-4.238610000							
T	58.484150000	-4.240240000							
T	58.483820000	-4.244610000							
T	58.483740000	-4.249130000							
T	58.483880000	-4.249890000							
T	58.484070000	-4.250400000							
T	58.484460000	-4.251060000							
T	58.485080000	-4.251900000							
T	58.485260000	-4.252250000							
T	58.485460000	-4.252840000							
T	58.485920000	-4.256410000							
T	58.486340000	-4.257830000							
T	58.486650000	-4.259660000							
T	58.486980000	-4.260910000							
T	58.488220000	-4.264600000							
T	58.488870000	-4.265830000							
T	58.489120000	-4.266180000							
T	58.489940000	-4.266830000							
T	58.491250000	-4.268600000							
T	58.492380000	-4.269710000							
T	58.492390000	-4.269710000							
T	58.492780000	-4.270110000							
T	58.494630000	-4.272500000							
T	58.495080000	-4.273650000							
T	58.496570000	-4.280780000							
T	58.496640000	-4.282080000							
T	58.496410000	-4.285590000							
