X,Y,OBJECTID,POSTCODE,NO_OF_PROPERTIES,NO_OF_HA_PROPERTIES,F__HA_OF_POSTCODE_TOTAL,NO_OF_OTHER_PROPERTIES,F__OTHER_OF_POSTCODE_TOTAL,ADDRESS,LATITUDE,LONGITUDE,EASTING,NORTHING,CONSTITUENCY,WARD,LSOA,REGION,LSOA_CODE,ROW_NUMBER
-4.28629500009205,55.9021500000464,4903,G23 5NY,14,0,0,14,1,G23 5NY,55.90215,-4.286295,257157,670033,Glasgow North,Maryhill,Summerston Central and West - 02,,S01010341,4494
-4.28489699962606,55.9061209998917,4904,G23 5NZ,22,0,0,22,1,G23 5NZ,55.906121,-4.284897,257259,670472,Glasgow North,Maryhill,Summerston Central and West - 04,,S01010343,4495
-4.29536899955791,55.9024750001751,4905,G23 5PA,19,6,0,13,1,G23 5PA,55.902475,-4.295369,256591,670088,Glasgow North,Maryhill,Summerston North - 04,,S01010349,4496
-4.29785400014522,55.9033809999589,4906,G23 5PB,4,2,0,2,0,G23 5PB,55.903381,-4.297854,256439,670194,Glasgow North,Maryhill,Summerston North - 02,,S01010347,4497
-4.29475299961477,55.9031519997858,4907,G23 5PD,16,5,0,11,1,G23 5PD,55.903152,-4.294753,256632,670162,Glasgow North,Maryhill,Summerston North - 04,,S01010349,4498
-4.29424799999971,55.9032780002308,4908,G23 5PE,13,5,0,8,1,G23 5PE,55.903278,-4.294248,256664,670175,Glasgow North,Maryhill,Summerston North - 04,,S01010349,4499
-4.29520500042471,55.9029539999142,4909,G23 5PF,14,6,0,8,1,G23 5PF,55.902954,-4.295205,256603,670141,Glasgow North,Maryhill,Summerston North - 04,,S01010349,4500
-4.29595500026215,55.9029140000667,4910,G23 5PG,16,6,0,10,1,G23 5PG,55.902914,-4.295955,256556,670138,Glasgow North,Maryhill,Summerston North - 04,,S01010349,4501
-4.25020000027336,55.8824349999244,4911,G22 5BF,7,6,1,1,0,G22 5BF,55.882435,-4.2502,259342,667765,Glasgow North East,Canal,Cowlairs and Port Dundas - 06,,S01010224,4014
-4.25365599973271,55.8814149998694,4912,G22 5BS,1,0,0,1,1,G22 5BS,55.881415,-4.253656,259122,667659,Glasgow North East,Canal,Keppochhill - 03,,S01010311,4015
-4.25039299971886,55.8830070001743,4913,G22 5BT,15,10,1,5,0,G22 5BT,55.883007,-4.250393,259332,667829,Glasgow North East,Canal,Cowlairs and Port Dundas - 06,,S01010224,4016
-4.25188200042145,55.8816669999691,4914,G22 5BU,37,37,1,0,0,G22 5BU,55.881667,-4.251882,259234,667683,Glasgow North East,Canal,Keppochhill - 03,,S01010311,4017
-4.25332199982187,55.8819970002292,4915,G22 5BX,31,29,1,2,0,G22 5BX,55.881997,-4.253322,259145,667723,Glasgow North East,Canal,Cowlairs and Port Dundas - 06,,S01010224,4018
-4.25028499976385,55.8836199998163,4916,G22 5BZ,11,8,1,3,0,G22 5BZ,55.88362,-4.250285,259341,667897,Glasgow North East,Canal,Cowlairs and Port Dundas - 06,,S01010224,4019
-4.24432100015094,55.8836709998008,4917,G22 5DB,14,14,1,0,0,G22 5DB,55.883671,-4.244321,259714,667891,Glasgow North East,Canal,Cowlairs and Port Dundas - 06,,S01010224,4020
-4.24512000039219,55.8836660001708,4918,G22 5DD,32,32,1,0,0,G22 5DD,55.883666,-4.24512,259664,667892,Glasgow North East,Canal,Cowlairs and Port Dundas - 06,,S01010224,4021
-4.24613899984316,55.8827570000062,4919,G22 5DE,6,6,1,0,0,G22 5DE,55.882757,-4.246139,259597,667793,Glasgow North East,Canal,Cowlairs and Port Dundas - 06,,S01010224,4022
-4.24447299958858,55.8826980001207,4920,G22 5DF,17,16,1,1,0,G22 5DF,55.882698,-4.244473,259701,667783,Glasgow North East,Canal,Cowlairs and Port Dundas - 06,,S01010224,4023
-4.24759900023339,55.8828469998894,4921,G22 5DN,52,50,1,2,0,G22 5DN,55.882847,-4.247599,259506,667806,Glasgow North East,Canal,Cowlairs and Port Dundas - 06,,S01010224,4024
-4.24560200044103,55.8831529998462,4922,G22 5DP,36,33,1,3,0,G22 5DP,55.883153,-4.245602,259632,667836,Glasgow North East,Canal,Cowlairs and Port Dundas - 06,,S01010224,4025
-4.24686100009151,55.882788999787,4923,G22 5DR,6,6,1,0,0,G22 5DR,55.882789,-4.246861,259552,667798,Glasgow North East,Canal,Cowlairs and Port Dundas - 06,,S01010224,4026
-4.24364099973539,55.8837999999068,4924,G22 5DT,52,52,1,0,0,G22 5DT,55.8838,-4.243641,259757,667904,Glasgow North East,Canal,Cowlairs and Port Dundas - 06,,S01010224,4027
-4.24658300025715,55.8835129999968,4925,G22 5DY,26,25,1,1,0,G22 5DY,55.883513,-4.246583,259572,667878,Glasgow North East,Canal,Possil Park - 01,,S01010323,4028
-4.24718199958356,55.8833670001674,4926,G22 5DZ,15,15,1,0,0,G22 5DZ,55.883367,-4.247182,259534,667863,Glasgow North East,Canal,Cowlairs and Port Dundas - 06,,S01010224,4029
-4.24775599969391,55.8833389998958,4927,G22 5EB,16,15,1,1,0,G22 5EB,55.883339,-4.247756,259498,667861,Glasgow North East,Canal,Cowlairs and Port Dundas - 06,,S01010224,4030
-4.24617900002612,55.8842750000427,4928,G22 5ED,7,7,1,0,0,G22 5ED,55.884275,-4.246179,259600,667962,Glasgow North East,Canal,Possil Park - 01,,S01010323,4031
