Index,Lat_Start,Lon_Start,Elevation,Lat_End,Lon_End,Lat_Start_Rad,Lon_Start_Rad,Lat_End_Rad,Lon_End_Rad,Distance_Km,RT_Km,PointSize
112,58.13628,-3.61106,176,58.13335,-3.62118,1.014669501,-0.063024886,1.014618363,-0.063201514,0.677541277,78.51299487,1
113,58.13335,-3.62118,136,58.13183,-3.62897,1.014618363,-0.063201514,1.014591834,-0.063337475,0.487552606,79.00054748,1
114,58.13183,-3.62897,110,58.12883,-3.63268,1.014591834,-0.063337475,1.014539474,-0.063402227,0.398398396,79.39894588,1
115,58.12883,-3.63268,83,58.12167,-3.63304,1.014539474,-0.063402227,1.014414508,-0.06340851,0.796436251,80.19538213,1
116,58.12167,-3.63304,63,58.12051,-3.63347,1.014414508,-0.06340851,1.014394262,-0.063416015,0.131434689,80.32681682,1
117,58.12051,-3.63347,48,58.12033,-3.63413,1.014394262,-0.063416015,1.014391121,-0.063427534,0.043621917,80.37043873,1
118,58.12033,-3.63413,49,58.11848,-3.64311,1.014391121,-0.063427534,1.014358832,-0.063584265,0.566074942,80.93651367,1
119,58.11848,-3.64311,43,58.1179,-3.64845,1.014358832,-0.063584265,1.014348709,-0.063677465,0.320179141,81.25669282,1
120,58.1179,-3.64845,31,58.11418,-3.65736,1.014348709,-0.063677465,1.014283783,-0.063832974,0.667052385,81.9237452,1
121,58.11418,-3.65736,20,58.11135,-3.66168,1.014283783,-0.063832974,1.01423439,-0.063908372,0.404245022,82.32799022,1
122,58.11135,-3.66168,16,58.10746,-3.66786,1.01423439,-0.063908372,1.014166497,-0.064016234,0.564708143,82.89269837,1
123,58.10746,-3.66786,14,58.10173,-3.67389,1.014166497,-0.064016234,1.01406649,-0.064121477,0.729017877,83.62171624,1
124,58.10173,-3.67389,12,58.09974,-3.68182,1.01406649,-0.064121477,1.014031758,-0.064259881,0.515827026,84.13754327,1
125,58.09974,-3.68182,21,58.09448,-3.70602,1.014031758,-0.064259881,1.013939953,-0.064682251,1.537678929,85.6752222,1
126,58.09448,-3.70602,72,58.09195,-3.70962,1.013939953,-0.064682251,1.013895796,-0.064745083,0.352003865,86.02722606,1
127,58.09195,-3.70962,67,58.08691,-3.72553,1.013895796,-0.064745083,1.013807832,-0.065022765,1.090213853,87.11743992,1
128,58.08691,-3.72553,67,58.08311,-3.74206,1.013807832,-0.065022765,1.013741509,-0.065311268,1.059599966,88.17703988,1
129,58.08311,-3.74206,67,58.07651,-3.76307,1.013741509,-0.065311268,1.013626318,-0.065677961,1.436803946,89.61384383,1
130,58.07651,-3.76307,59,58.0706,-3.77851,1.013626318,-0.065677961,1.013523169,-0.06594744,1.120796118,90.73463995,1
131,58.0706,-3.77851,20,58.06969,-3.7902,1.013523169,-0.06594744,1.013507286,-0.066151469,0.694882207,91.42952215,1
132,58.06969,-3.7902,30,58.06658,-3.79545,1.013507286,-0.066151469,1.013453006,-0.066243099,0.463598912,91.89312106,1
