X,Y,OBJECTID,ACCIDENT_INDEX,POLICE_FORCE,ACCIDENT_SEVERITY,NUMBER_OF_VEHICLES,NUMBER_OF_CASUALTIES,DATE_,DAY_OF_WEEK,TIME,LOCAL_AUTHORITY__DISTRICT_,LOCAL_AUTHORITY__HIGHWAY_,ROAD_TYPE,SPEED_LIMIT,JUNCTION_DETAIL,JUNCTION_CONTROL,PEDESTRIAN_CROSSING_HUMAN_CONT,PEDESTRIAN_CROSSING_PHYSICAL_F,LIGHT_CONDITIONS,WEATHER_CONDITIONS,ROAD_SURFACE_CONDITIONS,SPECIAL_CONDITIONS_AT_SITE,CARRIAGEWAY_HAZARDS,URBAN_OR_RURAL_AREA,DID_POLICE_OFFICER_ATTEND_SCEN,LOCATION_EASTING_OSGR,LOCATION_NORTHING_OSGR,LONGITUDE,LATITUDE,CASUALITY_TYPE,FIRST_ROAD_CLASS,FIRST_ROAD_NUMBER,SECOND_ROAD_CLASS,SECOND_ROAD_NUMBER
-4.235889816,55.86766703,37,201497AB01203,Police Scotland,Slight,2,1,2014/03/14 00:00:00+00,Friday,1900/01/01 09:40:00+00,Glasgow,Glasgow,Dual carriageway,50,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,260186,666088,-4.23589,55.867667,,Motorway,8,,0
-4.255394816,55.86996203,38,201497AB01207,Police Scotland,Slight,2,1,2014/07/11 00:00:00+00,Friday,1900/01/01 10:40:00+00,Glasgow,Glasgow,Dual carriageway,30,T or staggered junction,Auto traffic signal,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Other,Dry,Road sign or marking defective or obscured,None,Urban,Yes,258974,666383,-4.255395,55.869962,,A,804,Unclassified,0
-4.25702583,55.85839202,39,201497AB01304,Police Scotland,Slight,1,1,2014/04/06 00:00:00+00,Sunday,1900/01/01 13:00:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,258830,665099,-4.257026,55.858392,,Unclassified,0,,0
-4.243709826,55.85942602,40,201497AB01401,Police Scotland,Slight,2,1,2014/01/15 00:00:00+00,Wednesday,1900/01/01 07:20:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,Yes,259667,665187,-4.24371,55.859426,,Unclassified,0,,0
-4.261124818,55.86292703,41,201497AB01406,Police Scotland,Slight,2,1,2014/06/23 00:00:00+00,Monday,1900/01/01 16:20:00+00,Glasgow,Glasgow,One way street,30,Crossroads,Auto traffic signal,None within 50 metres ,Pedestrian phase at traffic signal junction,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,258590,665612,-4.261125,55.862927,,Unclassified,0,Unclassified,0
-4.245890824,55.85483902,42,201497AB01409,Police Scotland,Slight,2,1,2014/09/19 00:00:00+00,Friday,1900/01/01 10:10:00+00,Glasgow,Glasgow,Dual carriageway,30,Crossroads,Auto traffic signal,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Daylight,Fine no high winds,Dry,None,None,Urban,Yes,259514,664681,-4.245891,55.854839,,A,8,A,8
-4.268837815,55.86611103,43,201497AB01411,Police Scotland,Slight,2,2,2014/11/22 00:00:00+00,Saturday,1900/01/01 12:30:00+00,Glasgow,Glasgow,One way street,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,"Pelican, puffin, toucan or similar non-junction pedestrian light crossing",Darkness - lights lit,Raining no high winds,Wet or damp,None,None,Urban,No,258119,665982,-4.268838,55.866111,,Unclassified,0,,0
-4.260764824,55.85977002,44,201497AB01501,Police Scotland,Slight,1,1,2014/01/18 00:00:00+00,Saturday,1900/01/01 17:30:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Wet or damp,None,None,Urban,Yes,258601,665260,-4.260765,55.85977,,Unclassified,0,,0
-4.245680824,55.85480702,45,201497AB01512,Police Scotland,Slight,2,1,2014/12/05 00:00:00+00,Friday,1900/01/01 15:30:00+00,Glasgow,Glasgow,Single carriageway,30,Crossroads,Auto traffic signal,None within 50 metres ,Pedestrian phase at traffic signal junction,Darkness - lights lit,Fine no high winds,Wet or damp,None,None,Urban,Yes,259527,664677,-4.245681,55.854807,,Unclassified,0,Unclassified,0
-4.249894822,55.86192002,46,201497AB01608,Police Scotland,Serious,1,1,2014/08/18 00:00:00+00,Monday,1900/01/01 17:40:00+00,Glasgow,Glasgow,Single carriageway,30,Not at junction or within 20 metres,Data missing or out of range,None within 50 metres ,No physical crossing facilities within 50 metres,Daylight,Fine no high winds,Dry,None,None,Urban,Yes,259289,665477,-4.249895,55.86192,,Unclassified,0,,0
